miRNA, Clontech_trimmed.4_acc.fq, Illumina_trimmed.4_acc.fq, NEB_trimmed.4_acc.fq, NEXT_trimmed.4_acc.fq, directional_deduped_lib_align_seed15_acc_4_bam2fastq.fq, Five_double_acc_4.fq
synth_miRNA-404-MIR-495, 5447, 126, 540, 2659, 1002, 132
synth_miRNA-405-MIR-496_1, 18954, 1325, 789, 3050, 914, 178
synth_miRNA-406-MIR-496_3, 17302, 2047, 821, 4265, 1267, 210
synth_miRNA-407-MIR-497, 26207, 9069, 2339, 15982, 3186, 776
synth_miRNA-408-MIR-497, 22663, 1014, 897, 2083, 465, 66
synth_miRNA-409-MIR-498, 10107, 138, 393, 14914, 1240, 690
synth_miRNA-41-HCMV-MIR-UL70, 71207, 8113, 2617, 3162, 1177, 146
synth_miRNA-410-MIR-499-5P, 1296, 2985, 6666, 16950, 2230, 777
synth_miRNA-411-MIR-500, 22167, 135693, 14423, 94613, 5475, 4595
synth_miRNA-412-MIR-500-5P, 3666, 2104, 845, 13142, 1540, 636
synth_miRNA-413-MIR-501, 3383, 1069609, 6591, 46566, 4987, 2326
synth_miRNA-414-MIR-501-5P, 18404, 807, 403, 15768, 1985, 754
synth_miRNA-415-MIR-502, 19733, 21688, 6686, 53644, 4993, 2647
synth_miRNA-416-MIR-502-5P, 3532, 3635, 209, 12337, 1195, 579
synth_miRNA-417-MIR-503, 15265, 140, 2283, 25634, 2037, 1218
synth_miRNA-418-MIR-504, 19872, 36631, 130901, 150493, 6074, 7252
synth_miRNA-419-MIR-505, 77670, 9583, 865, 114995, 4367, 5567
synth_miRNA-42-HCMV-MIR-UL70-5P, 14451, 25655, 7538, 23466, 2678, 1130
synth_miRNA-420-MIR-506, 8125, 99318, 20042, 79179, 4794, 3923
synth_miRNA-421-MIR-507, 866, 1020, 259, 1192, 709, 53
synth_miRNA-422-MIR-508, 38972, 31444, 19617, 64086, 4935, 2916
synth_miRNA-423-MIR-508-5P, 101890, 13598, 13554, 95225, 5802, 4750
synth_miRNA-424-MIR-509-3-5P, 9684, 10660, 20449, 70563, 4776, 3488
synth_miRNA-425-MIR-509, 18770, 47346, 7227, 52502, 4521, 2530
synth_miRNA-426-MIR-509-5P, 38163, 822, 520, 19090, 2675, 860
synth_miRNA-427-MIR-510, 11212, 285, 34, 4689, 1238, 239
synth_miRNA-428-MIR-511, 47125, 5999, 18269, 70123, 3569, 3363
synth_miRNA-429-MIR-512, 47683, 52275, 21271, 33048, 3222, 1579
synth_miRNA-43-HCMV-MIR-US25-1, 55980, 356089, 32393, 168391, 7902, 8190
synth_miRNA-430-MIR-512-5P, 52134, 626, 246, 4956, 1404, 234
synth_miRNA-431-MIR-513A, 2098, 1073, 614, 3377, 1300, 164
synth_miRNA-432-MIR-513A-5P, 22764, 443, 1446, 20725, 1622, 958
synth_miRNA-433-MIR-514, 34962, 15845, 404648, 76553, 4538, 3655
synth_miRNA-434-MIR-515, 6792, 651, 607, 895, 441, 42
synth_miRNA-435-MIR-515-5P, 8588, 822, 80, 1808, 704, 74
synth_miRNA-436-MIR-516A-5P, 21159, 3792, 419, 6607, 1638, 309
synth_miRNA-437-MIR-516B*, 2984, 7969, 773, 2378, 892, 110
synth_miRNA-438-MIR-516B, 12068, 2121, 3306, 24077, 3316, 1195
synth_miRNA-439-MIR-517*, 5154, 5819, 5168, 12128, 1879, 603
synth_miRNA-44-HCMV-MIR-US25-2, 62578, 64990, 39890, 77080, 6396, 3749
synth_miRNA-440-MIR-517A-MIR-517B_2, 22412, 1056, 4138, 11061, 1793, 514
synth_miRNA-441-MIR-517C, 55482, 1898, 5253, 5080, 1288, 245
synth_miRNA-442-MIR-518A, 9047, 669, 1173, 2087, 722, 88
synth_miRNA-443-MIR-518A-5P-527_1, 16874, 3229, 564, 1903, 836, 91
synth_miRNA-444-MIR-518B, 53986, 1451, 1157, 9010, 1624, 437
synth_miRNA-445-MIR-518C*, 5168, 1092, 1944, 11986, 1916, 560
synth_miRNA-446-MIR-518C, 12765, 388, 896, 551, 236, 24
synth_miRNA-447-MIR-518D, 3016, 6115, 894, 451, 314, 18
synth_miRNA-448-MIR-518D-5P-520C-5P-526A, 4564, 919, 460, 4520, 1297, 210
synth_miRNA-449-MIR-518E*-519A*-1-519B-5P-519C-5P-522*-523*, 1652, 560, 296, 4841, 1278, 219
synth_miRNA-45-HCMV-MIR-US25-2-5P, 13886, 31028, 16773, 32751, 3870, 1700
synth_miRNA-450-MIR-518E, 1802, 3764, 930, 813, 470, 35
synth_miRNA-451-MIR-518F, 8171, 213, 163, 2022, 598, 82
synth_miRNA-452-MIR-519A, 29313, 615, 810, 578, 297, 20
synth_miRNA-453-MIR-519B, 18986, 283, 409, 950, 430, 51
synth_miRNA-454-MIR-519C, 11075, 1799, 27, 372, 150, 19
synth_miRNA-455-MIR-519D, 14084, 1382, 2029, 967, 594, 39
synth_miRNA-456-MIR-519E*, 2293, 79, 138, 494, 274, 18
synth_miRNA-457-MIR-519E, 12702, 381, 279, 218, 157, 5
synth_miRNA-458-MIR-520A, 3897, 9230, 39701, 12451, 2200, 622
synth_miRNA-459-MIR-520A-5P, 5512, 1337, 292, 4267, 1374, 192
synth_miRNA-46-HCMV-MIR-US33, 46132, 2369, 871, 30735, 3206, 1433
synth_miRNA-460-MIR-520C-520F-520B_3, 2578, 204, 205, 1542, 659, 97
synth_miRNA-461-MIR-520D, 18554, 1094, 1026, 11234, 1214, 546
synth_miRNA-462-MIR-520D-5P, 7634, 314, 349, 1501, 726, 86
synth_miRNA-463-MIR-520E, 4515, 122, 137, 1191, 586, 59
synth_miRNA-464-MIR-520G, 1784, 397, 861, 1274, 710, 57
synth_miRNA-465-MIR-520H, 1000, 48, 333, 347, 232, 20
synth_miRNA-466-MIR-521, 34088, 160, 1480, 566, 281, 30
synth_miRNA-467-MIR-522, 11914, 460, 2038, 11964, 1924, 535
synth_miRNA-468-MIR-523, 57127, 797, 2428, 9858, 1233, 468
synth_miRNA-469-MIR-524, 1199, 165, 205, 371, 209, 14
synth_miRNA-47-HCMV-MIR-US33-5P, 3620, 4449, 19571, 8791, 1309, 422
synth_miRNA-470-MIR-524-5P, 5197, 450, 406, 1292, 633, 56
synth_miRNA-471-MIR-525, 11449, 297, 147, 292, 178, 13
synth_miRNA-472-MIR-525-5P, 6241, 1147, 387, 4861, 1489, 221
synth_miRNA-473-MIR-526B*, 2722, 296, 242, 444, 235, 18
synth_miRNA-474-MIR-526B, 10826, 296, 2294, 10381, 1827, 502
synth_miRNA-475-MIR-532, 34186, 1070, 1128, 3458, 1476, 139
synth_miRNA-476-MIR-532-5P, 57873, 44080, 30806, 71881, 6066, 3499
synth_miRNA-477-MIR-539, 59989, 749, 522, 7954, 1342, 397
synth_miRNA-478-MIR-541*, 94319, 79438, 22527, 39398, 4383, 1948
synth_miRNA-479-MIR-542, 71769, 24444, 9156, 31370, 2828, 1530
synth_miRNA-48-HCMV-MIR-US4, 14585, 2541, 3611, 7372, 2151, 324
synth_miRNA-480-MIR-542-5P, 108143, 7196, 763, 4307, 1337, 224
synth_miRNA-481-MIR-542-5P, 216979, 3902, 469, 4222, 990, 205
synth_miRNA-482-MIR-543, 4179, 3979, 2797, 12737, 2368, 627
synth_miRNA-483-MIR-544, 6835, 733, 273, 447, 251, 31
synth_miRNA-484-MIR-545, 7888, 710, 699, 509, 331, 30
synth_miRNA-485-MIR-548A, 5132, 2157, 3832, 2892, 1125, 119
synth_miRNA-486-MIR-548B, 84555, 3388, 1826, 3640, 1190, 157
synth_miRNA-487-MIR-548C, 39201, 926, 1492, 763, 423, 36
synth_miRNA-488-MIR-548C-5P, 1422, 708, 866, 5651, 938, 308
synth_miRNA-489-MIR-548D, 46650, 386, 230, 940, 470, 0
synth_miRNA-49-HCMV-MIR-US5-1, 8438, 3196, 19357, 27702, 2715, 1333
synth_miRNA-490-MIR-549, 45850, 55676, 23766, 116878, 7131, 5675
synth_miRNA-491-MIR-550*, 7817, 2205, 318, 5336, 1336, 248
synth_miRNA-492-MIR-550, 1463, 15821, 270, 9905, 1837, 461
synth_miRNA-493-MIR-551A, 28516, 490, 1786, 2694, 1005, 129
synth_miRNA-494-MIR-551B, 6541, 597, 20, 601, 312, 37
synth_miRNA-495-MIR-552, 42506, 5937, 21063, 55576, 5275, 2672
synth_miRNA-496-MIR-553, 4267, 654, 780, 5462, 843, 268
synth_miRNA-497-MIR-554, 16963, 6648, 5796, 13836, 2706, 696
synth_miRNA-498-MIR-555, 15510, 23043, 19437, 32468, 3564, 1505
synth_miRNA-499-MIR-556-5P, 5971, 628, 1328, 2576, 685, 127
synth_miRNA-5-EBV-MIR-BART13, 1694, 950, 8057, 73918, 3928, 3578
synth_miRNA-50-HCMV-MIR-US5-2, 12510, 5446, 1623, 24240, 2779, 1184
synth_miRNA-500-MIR-557, 33812, 2210, 1606, 50518, 4462, 2500
synth_miRNA-501-MIR-558, 30181, 5701, 1473, 37999, 3173, 1807
synth_miRNA-502-MIR-559, 258604, 385, 109, 2725, 981, 135
synth_miRNA-503-MIR-560, 2612, 1620, 547, 947, 515, 57
synth_miRNA-504-MIR-561, 30693, 5901, 1380, 3691, 865, 155
synth_miRNA-505-MIR-562, 12578, 23740, 23254, 53476, 6174, 2591
synth_miRNA-506-MIR-563, 11449, 5589, 232, 1409, 784, 69
synth_miRNA-507-MIR-564, 97604, 15981, 15413, 31267, 2503, 1513
synth_miRNA-508-MIR-565, 45441, 6078, 12086, 13156, 1769, 632
synth_miRNA-509-MIR-566, 20433, 7660, 7985, 11971, 1936, 556
synth_miRNA-51-HIV1-MIR-H1, 26181, 16205, 108653, 7045, 1238, 353
synth_miRNA-510-MIR-567, 739, 32291, 3624, 8437, 2248, 355
synth_miRNA-511-MIR-568, 887, 87, 67, 265, 200, 12
synth_miRNA-512-MIR-569, 84831, 75396, 20001, 78573, 3654, 3866
synth_miRNA-513-MIR-570, 17710, 1864, 599, 1173, 692, 61
synth_miRNA-514-MIR-571, 41167, 24096, 2163, 41578, 4974, 1979
synth_miRNA-515-MIR-572, 27446, 12481, 14467, 59307, 5502, 2943
synth_miRNA-516-MIR-573, 34098, 13272, 27091, 21195, 4053, 1044
synth_miRNA-517-MIR-574, 91508, 1124, 975, 7204, 1887, 314
synth_miRNA-518-MIR-574-5P, 31853, 614, 1970, 2955, 1049, 142
synth_miRNA-519-MIR-575, 19329, 434178, 120250, 229634, 8667, 11244
synth_miRNA-52-HIV1-MIR-N367, 81414, 5092, 3920, 49702, 3742, 2403
synth_miRNA-520-MIR-576, 14799, 10087, 7258, 25764, 3112, 1304
synth_miRNA-521-MIR-576-5P, 138524, 2111, 195, 6907, 1374, 353
synth_miRNA-522-MIR-577, 121556, 123984, 2756, 9140, 1893, 414
synth_miRNA-523-MIR-578, 43225, 34060, 106412, 49742, 5138, 2314
synth_miRNA-524-MIR-579, 3724, 759, 656, 4720, 1374, 254
synth_miRNA-525-MIR-580, 27384, 84056, 83029, 31281, 3300, 1529
synth_miRNA-526-MIR-581, 26289, 56709, 174971, 112172, 5066, 5442
synth_miRNA-527-MIR-582, 5038, 122877, 375206, 17988, 2918, 849
synth_miRNA-528-MIR-582-5P, 4770, 17260, 30962, 18638, 3980, 891
synth_miRNA-529-MIR-583, 56849, 522, 371, 12009, 1189, 623
synth_miRNA-53-HSV1-MIR-H1, 39568, 610, 2359, 14017, 2258, 699
synth_miRNA-530-MIR-584, 4592, 29511, 10004, 53201, 6118, 2526
synth_miRNA-531-MIR-585, 6819, 90729, 31501, 5965, 1483, 281
synth_miRNA-532-MIR-586, 142590, 29684, 3913, 41510, 3879, 2024
synth_miRNA-533-MIR-587, 67599, 11636, 703, 10525, 1644, 524
synth_miRNA-534-MIR-588, 13162, 175897, 11891, 41726, 4418, 1985
synth_miRNA-535-MIR-589*, 156836, 53340, 3340, 32946, 2903, 1668
synth_miRNA-536-MIR-590, 6596, 2422, 1681, 8514, 1461, 408
synth_miRNA-537-MIR-590-5P, 32674, 81, 27, 263, 163, 11
synth_miRNA-538-MIR-591, 90843, 1044, 22983, 12653, 1980, 590
synth_miRNA-539-MIR-592, 13717, 23232, 7647, 38678, 2089, 1921
synth_miRNA-54-HSV-MIR-LAT, 2723, 3612, 2259, 3841, 1068, 182
synth_miRNA-540-MIR-593*, 90453, 1798, 5910, 21429, 2730, 1035
synth_miRNA-541-MIR-594, 143727, 10295, 5999, 30946, 3791, 1564
synth_miRNA-542-MIR-595, 8946, 1494, 723, 16757, 1692, 794
synth_miRNA-543-MIR-596, 7433, 18330, 2097, 4743, 1177, 226
synth_miRNA-544-MIR-597, 23789, 4672, 5053, 5228, 1582, 228
synth_miRNA-545-MIR-598, 114209, 35384, 6668, 57490, 4629, 2822
synth_miRNA-546-MIR-599, 75516, 7022, 430, 2294, 957, 110
synth_miRNA-547-MIR-600, 8875, 55125, 31451, 32701, 4082, 1559
synth_miRNA-548-MIR-601, 277221, 79304, 10041, 125237, 5409, 6157
synth_miRNA-549-MIR-602, 20563, 41379, 4676, 33098, 1685, 1546
synth_miRNA-55-KSHV-MIR-K12-1, 26778, 3769, 3154, 25365, 2904, 1232
synth_miRNA-550-MIR-603, 43438, 2518, 16799, 12591, 2499, 588
synth_miRNA-551-MIR-604, 20548, 1151533, 22043, 47298, 3393, 2281
synth_miRNA-552-MIR-605, 22380, 4141, 672, 11055, 2054, 548
synth_miRNA-553-MIR-606, 24379, 5367, 1255, 24609, 1405, 1242
synth_miRNA-554-MIR-607, 38585, 34808, 6294, 13533, 1331, 650
synth_miRNA-555-MIR-608, 69749, 2741, 2602, 4661, 1473, 212
synth_miRNA-556-MIR-609, 12926, 2698, 429, 454, 307, 14
synth_miRNA-557-MIR-610, 153956, 5134, 10435, 55884, 3453, 2729
synth_miRNA-558-MIR-611, 9368, 3832, 1710, 1283, 609, 62
synth_miRNA-559-MIR-612, 105956, 9398, 23348, 54523, 5438, 2719
synth_miRNA-56-KSHV-MIR-K12-10A, 9821, 4454, 8922, 26458, 3318, 1264
synth_miRNA-560-MIR-613, 49044, 9209, 15077, 18668, 2470, 865
synth_miRNA-561-MIR-614, 8468, 97, 290, 1418, 475, 86
synth_miRNA-562-MIR-615, 18345, 3733, 5289, 30387, 2981, 1487
synth_miRNA-563-MIR-615-5P, 76608, 64934, 24551, 12562, 1717, 570
synth_miRNA-564-MIR-616*, 19699, 7515, 234, 15998, 1885, 812
synth_miRNA-565-MIR-617, 5180, 950, 11478, 8075, 1422, 405
synth_miRNA-566-MIR-618, 1529, 6744, 29268, 13145, 2422, 642
synth_miRNA-567-MIR-619, 5923, 2968, 300, 332, 181, 19
synth_miRNA-568-MIR-620, 52640, 145569, 12867, 22908, 2653, 1100
synth_miRNA-569-MIR-621, 15637, 258, 147, 434, 267, 22
synth_miRNA-57-KSHV-MIR-K12-10B, 15584, 3918, 12512, 18578, 2464, 902
synth_miRNA-570-MIR-622, 30153, 100916, 87768, 150737, 6212, 7281
synth_miRNA-571-MIR-623, 27395, 46260, 13036, 78597, 4798, 3844
synth_miRNA-572-MIR-624*, 4083, 513, 460, 8168, 1630, 385
synth_miRNA-573-MIR-624, 7534, 4842, 1169, 2625, 1078, 134
synth_miRNA-574-MIR-625, 26094, 497, 250, 396, 244, 20
synth_miRNA-575-MIR-626, 16735, 9157, 5358, 14105, 1998, 682
synth_miRNA-576-MIR-627, 15576, 12190, 369, 2602, 1002, 143
synth_miRNA-577-MIR-628, 137316, 9771, 1205, 35093, 2619, 1746
synth_miRNA-578-MIR-629*, 5045, 6721, 2615, 12582, 2082, 606
synth_miRNA-579-MIR-629, 1583, 103517, 16639, 26391, 3083, 1248
synth_miRNA-58-KSHV-MIR-K12-11, 8159, 2803, 300, 30694, 3302, 1499
synth_miRNA-580-MIR-630, 10641, 1906, 8176, 38925, 2831, 1804
synth_miRNA-581-MIR-631, 19482, 42107, 11049, 73729, 4655, 3652
synth_miRNA-582-MIR-632, 8587, 6245, 89456, 72124, 5502, 3480
synth_miRNA-583-MIR-633, 330186, 195, 124, 4510, 1323, 226
synth_miRNA-584-MIR-634, 34356, 317963, 16508, 52203, 3862, 2517
synth_miRNA-585-MIR-635, 12860, 136302, 54063, 14952, 3045, 769
synth_miRNA-586-MIR-636, 53862, 4373, 7151, 19397, 2105, 1000
synth_miRNA-587-MIR-637, 21621, 100291, 17699, 2968, 890, 145
synth_miRNA-588-MIR-638, 14288, 80853, 23493, 6818, 1383, 302
synth_miRNA-589-MIR-639, 18119, 6474, 16934, 12630, 2110, 604
synth_miRNA-59-KSHV-MIR-K12-12, 95066, 1160, 1155, 11849, 2630, 603
synth_miRNA-590-MIR-640, 31069, 39821, 14411, 77537, 5476, 3782
synth_miRNA-591-MIR-641, 23227, 16453, 2003, 24705, 2573, 1202
synth_miRNA-592-MIR-642, 70733, 1470, 85, 5117, 1372, 256
synth_miRNA-593-MIR-643, 36109, 1381, 849, 12582, 2327, 597
synth_miRNA-594-MIR-644, 26067, 99108, 157026, 31709, 2959, 1565
synth_miRNA-595-MIR-645, 4518, 34074, 113004, 62329, 5584, 3095
synth_miRNA-596-MIR-646, 2101, 50379, 599598, 44754, 3952, 2172
synth_miRNA-597-MIR-647, 82032, 12024, 7539, 48063, 3714, 2290
synth_miRNA-598-MIR-648, 9076, 1652, 8597, 11849, 2164, 582
synth_miRNA-599-MIR-649, 16121, 15539, 1762, 14691, 1814, 726
synth_miRNA-6-EBV-MIR-BART1-RLCV-MIR-RL1-6, 30331, 758, 1935, 10864, 1563, 532
synth_miRNA-60-KSHV-MIR-K12-2, 22797, 58095, 40921, 56529, 3942, 2764
synth_miRNA-600-MIR-650, 22207, 26046, 18434, 44476, 3643, 2257
synth_miRNA-601-MIR-651, 3693, 3999, 11181, 12327, 2508, 570
synth_miRNA-602-MIR-653, 25823, 12912, 1995, 12610, 2117, 575
synth_miRNA-603-MIR-654, 232734, 49660, 6175, 66713, 5031, 3175
synth_miRNA-604-MIR-654-5P, 67284, 28415, 43003, 88411, 4527, 4386
synth_miRNA-605-MIR-655, 28403, 228, 620, 14353, 1676, 698
synth_miRNA-606-MIR-656, 26113, 6726, 2429, 20398, 3104, 962
synth_miRNA-607-MIR-657, 81047, 388, 1240, 12229, 2120, 573
synth_miRNA-608-MIR-658, 106115, 2956, 9746, 33690, 4467, 1598
synth_miRNA-609-MIR-659, 40203, 4313, 2603, 19579, 1797, 935
synth_miRNA-61-KSHV-MIR-K12-3*, 3435, 24574, 16100, 7129, 1580, 311
synth_miRNA-610-MIR-660, 106201, 37006, 2492, 21349, 2837, 1005
synth_miRNA-611-MIR-661, 40812, 9519, 10328, 2068, 1040, 81
synth_miRNA-612-MIR-662, 79603, 5777, 3581, 12057, 2319, 586
synth_miRNA-613-MIR-663, 90367, 3091, 470, 14570, 1383, 636
synth_miRNA-614-MIR-665, 25575, 7635, 1877, 2473, 1060, 115
synth_miRNA-615-MIR-668, 23275, 54139, 11305, 157783, 6996, 7682
synth_miRNA-616-MIR-671, 34244, 409129, 37535, 123818, 8363, 6069
synth_miRNA-617-MIR-671-5P, 5408, 1459, 1069, 8906, 1543, 401
synth_miRNA-618-MIR-675, 74814, 3374, 7078, 30934, 2640, 1530
synth_miRNA-619-MIR-7*, 180254, 534, 1560, 6136, 1630, 292
synth_miRNA-62-KSHV-MIR-K12-3, 163738, 13765, 5576, 92549, 9468, 4535
synth_miRNA-620-MIR-7, 16913, 1754, 5019, 17664, 2753, 784
synth_miRNA-621-MIR-708*, 2576, 86979, 26660, 35978, 3181, 1797
synth_miRNA-622-MIR-708, 18048, 6207, 8202, 19238, 2441, 925
synth_miRNA-623-MIR-744, 24100, 5813, 4001, 14433, 2557, 679
synth_miRNA-624-MIR-758, 7425, 71091, 29443, 35210, 3441, 1729
synth_miRNA-625-MIR-760, 8055, 10671, 6251, 27288, 3517, 1290
synth_miRNA-626-MIR-765, 43302, 597, 1072, 3154, 1243, 149
synth_miRNA-627-MIR-766, 187842, 3364, 2867, 14920, 2159, 688
synth_miRNA-628-MIR-767, 110677, 1239, 581, 23347, 2079, 1151
synth_miRNA-629-MIR-767-5P, 73282, 75421, 11940, 77836, 4991, 3749
synth_miRNA-63-KSHV-MIR-K12-4, 83262, 98744, 12329, 101400, 6935, 5055
synth_miRNA-630-MIR-768, 194890, 13918, 4478, 146454, 5078, 7203
synth_miRNA-631-MIR-768-5P, 69575, 113217, 2418, 43499, 3917, 2187
synth_miRNA-632-MIR-769, 61327, 16993, 8814, 5343, 1330, 265
synth_miRNA-633-MIR-769-5P, 32351, 760747, 144996, 117518, 6698, 5818
synth_miRNA-634-MIR-770, 30855, 6713, 12452, 12039, 2163, 548
synth_miRNA-635-MIR-770-5P, 5289, 28186, 1332, 43045, 3511, 2120
synth_miRNA-636-MIR-801, 22073, 12514, 7520, 57095, 2862, 2842
synth_miRNA-637-MIR-802, 86826, 3138, 769, 16730, 1689, 846
synth_miRNA-638-MIR-873, 4851, 49549, 3411, 4535, 1268, 216
synth_miRNA-639-MIR-874, 154470, 26045, 1214, 8805, 1540, 396
synth_miRNA-64-KSHV-MIR-K12-4-5P, 28775, 10388, 33527, 133922, 7298, 6500
synth_miRNA-640-MIR-875, 137736, 9284, 21527, 65870, 4239, 3195
synth_miRNA-641-MIR-875-5P, 2132, 1887, 152, 820, 507, 35
synth_miRNA-642-MIR-876, 22770, 167, 137, 1601, 738, 75
synth_miRNA-643-MIR-876-5P, 980, 292, 56, 61, 43, 0
synth_miRNA-644-MIR-877, 32691, 1886, 1613, 6852, 1337, 325
synth_miRNA-645-MIR-885, 13379, 5552, 4165, 4312, 1784, 220
synth_miRNA-646-MIR-885-5P, 25737, 1052, 603, 8070, 1568, 387
synth_miRNA-647-MIR-886, 53872, 5821, 3012, 1576, 779, 68
synth_miRNA-648-MIR-886-5P, 200923, 97963, 141752, 232293, 6633, 11461
synth_miRNA-649-MIR-887, 25178, 35313, 5808, 12498, 2074, 604
synth_miRNA-65-KSHV-MIR-K12-5, 115099, 149433, 143298, 144862, 6353, 7096
synth_miRNA-650-MIR-888*, 4090, 93, 56, 872, 290, 42
synth_miRNA-651-MIR-888, 102824, 2633, 432, 25420, 2853, 1240
synth_miRNA-652-MIR-889, 13694, 62461, 28211, 91702, 6420, 4413
synth_miRNA-653-MIR-890, 55405, 861, 537, 9363, 1769, 441
synth_miRNA-654-MIR-891A, 55462, 155596, 40366, 66536, 4946, 3209
synth_miRNA-655-MIR-891B, 8726, 743, 830, 24209, 1824, 1166
synth_miRNA-656-MIR-892A, 35808, 77177, 17724, 38180, 4145, 1873
synth_miRNA-657-MIR-892B, 189342, 4325, 6646, 34748, 3838, 1672
synth_miRNA-658-MIR-9*, 10515, 749, 570, 9392, 989, 342
synth_miRNA-659-MIR-9, 14635, 9608, 47365, 90767, 7352, 4376
synth_miRNA-66-KSHV-MIR-K12-6, 17659, 4895, 9593, 15375, 2947, 709
synth_miRNA-660-MIR-92A, 70076, 86013, 13351, 77310, 6694, 3680
synth_miRNA-661-MIR-92B, 35650, 114859, 3887, 28677, 3509, 1339
synth_miRNA-662-MIR-93, 84176, 6193, 4913, 31784, 3073, 1572
synth_miRNA-663-MIR-95, 39154, 6251, 15353, 151351, 4928, 7449
synth_miRNA-664-MIR-96, 3078, 8642, 26675, 7151, 1889, 315
synth_miRNA-665-MIR-98, 26068, 15647, 1746, 30014, 3024, 1463
synth_miRNA-666-MIR-99A, 9689, 40817, 47397, 56625, 3188, 2756
synth_miRNA-667-MIR-99B, 74117, 1003033, 89710, 95445, 6724, 4738
synth_miRNA-668-MIR-101B, 10424, 8530, 10005, 15877, 2529, 776
synth_miRNA-669-MIR-105, 7012, 1057, 2167, 2263, 1088, 102
synth_miRNA-67-KSHV-MIR-K12-6-5P, 726509, 1754, 330, 9046, 1772, 446
synth_miRNA-670-MIR-106A, 39088, 2006, 4642, 8064, 1715, 378
synth_miRNA-671-MIR-133A*, 51982, 2444, 2335, 6439, 1299, 304
synth_miRNA-672-MIR-151, 24153, 120814, 42241, 23981, 3551, 1161
synth_miRNA-673-MIR-155, 3684, 2145, 460, 12681, 1550, 625
synth_miRNA-674-MIR-17*, 85477, 5583, 1981, 48279, 2812, 2347
synth_miRNA-675-MIR-182, 135202, 110180, 45943, 140124, 10113, 6901
synth_miRNA-676-MIR-18B, 3956, 4185, 5784, 8739, 1682, 401
synth_miRNA-677-MIR-193B, 12417, 4583, 1397, 3850, 1151, 168
synth_miRNA-678-MIR-199B-5P, 32578, 5678, 10012, 7605, 2273, 354
synth_miRNA-679-MIR-201, 15740, 1975, 799, 11757, 2097, 571
synth_miRNA-68-KSHV-MIR-K12-7, 53306, 6623, 1915, 53917, 2920, 2572
synth_miRNA-680-MIR-202, 41955, 366, 466, 9814, 1805, 453
synth_miRNA-681-MIR-207, 15260, 363, 255, 3874, 1160, 211
synth_miRNA-682-MIR-211, 15009, 8830, 1249, 16018, 2878, 759
synth_miRNA-683-MIR-215, 44203, 82321, 7008, 120049, 3981, 5867
synth_miRNA-684-MIR-217, 206395, 19689, 59264, 101196, 6656, 5101
synth_miRNA-685-MIR-220, 35001, 12917, 582, 4437, 1321, 223
synth_miRNA-686-MIR-224, 106110, 15032, 8338, 182948, 8064, 8815
synth_miRNA-687-MIR-28, 178012, 29625, 24748, 42752, 4527, 2114
synth_miRNA-688-MIR-290, 6081, 2365, 194, 2827, 1067, 142
synth_miRNA-689-MIR-290-5P, 9705, 281, 738, 4322, 980, 196
synth_miRNA-69-KSHV-MIR-K12-8, 68111, 156348, 161133, 185727, 8457, 9053
synth_miRNA-690-MIR-291A, 3639, 616, 2767, 2233, 666, 93
synth_miRNA-691-MIR-291A-5P, 13454, 1113, 713, 4228, 905, 198
synth_miRNA-692-MIR-291B, 5744, 308, 120, 424, 173, 20
synth_miRNA-693-MIR-291B-5P, 65634, 1162, 856, 12125, 2056, 603
synth_miRNA-694-MIR-292, 3306, 346, 337, 4081, 1092, 191
synth_miRNA-695-MIR-292-5P, 36118, 3270, 7245, 22703, 2980, 1132
synth_miRNA-696-MIR-293, 52746, 2422, 4424, 24243, 3467, 1163
synth_miRNA-697-MIR-294, 4366, 157, 269, 1845, 622, 82
synth_miRNA-698-MIR-295, 9532, 6770, 874, 4800, 1781, 242
synth_miRNA-699-MIR-297B, 53446, 2087, 9728, 6971, 1671, 319
synth_miRNA-7-EBV-MIR-BART14, 3493, 7295, 1090, 27869, 2548, 1450
synth_miRNA-70-KSHV-MIR-K12-9*, 1774, 7, 0, 34, 24, 0
synth_miRNA-700-MIR-297C, 32492, 595, 1676, 684, 323, 20
synth_miRNA-701-MIR-298, 45060, 132375, 3531, 12534, 2151, 635
synth_miRNA-702-MIR-299, 3490, 12554, 6686, 7811, 1839, 333
synth_miRNA-703-MIR-300, 171425, 41597, 99098, 21937, 2987, 1056
synth_miRNA-704-MIR-301B, 91338, 93931, 3490, 14790, 2078, 670
synth_miRNA-705-MIR-302B*, 35296, 202, 104, 11078, 1331, 577
synth_miRNA-706-MIR-302C*, 11725, 6627, 2266, 53392, 2546, 2590
synth_miRNA-707-MIR-302C, 15513, 610, 4801, 3904, 1078, 193
synth_miRNA-708-MIR-322*, 38548, 7322, 3409, 89203, 3803, 4238
synth_miRNA-709-MIR-322-MIR-424, 26714, 93, 14, 156, 82, 8
synth_miRNA-71-KSHV-MIR-K12-9, 204498, 553, 170, 2926, 886, 157
synth_miRNA-710-MIR-325, 4920, 2552, 56, 5316, 1485, 263
synth_miRNA-711-MIR-325-5P, 22006, 5643, 5405, 41466, 4158, 1993
synth_miRNA-712-MIR-327, 7748, 17131, 1066, 6003, 1378, 281
synth_miRNA-713-MIR-329, 25165, 44, 116, 1873, 744, 88
synth_miRNA-714-MIR-330, 37170, 2764, 1681, 55772, 4590, 2709
